Cylinder Analysis in LS-Dyna,Resultant Force
X-displacement,A1,
    2.7122882080e+02,    1.5708230972e+01,
    2.7172851562e+02,    1.5252816200e+01,
    2.7222817993e+02,    1.4990372658e+01,
    2.7272784424e+02,    1.4957707405e+01,
    2.7322738647e+02,    1.5009545326e+01,
    2.7372674561e+02,    1.5164469719e+01,
    2.7422610474e+02,    1.5169771194e+01,
    2.7472546387e+02,    1.4988039017e+01,
    2.7522497559e+02,    1.4769466400e+01,
    2.7572473145e+02,    1.4505211830e+01,
    2.7622433472e+02,    1.4339431763e+01,
    2.7672372437e+02,    1.4297762871e+01,
    2.7722314453e+02,    1.4380949974e+01,
    2.7772256470e+02,    1.4624076843e+01,
    2.7822195435e+02,    1.4633869171e+01,
    2.7872134399e+02,    1.4351944923e+01,
    2.7922085571e+02,    1.4355791092e+01,
    2.7972052002e+02,    1.4731780052e+01,
    2.8022000122e+02,    1.5069519043e+01,
    2.8071920776e+02,    1.5357851028e+01,
    2.8121865845e+02,    1.5517807007e+01,
    2.8171835327e+02,    1.5506426811e+01,
    2.8221801758e+02,    1.5483850479e+01,
    2.8271759033e+02,    1.5446692467e+01,
    2.8321707153e+02,    1.5441903114e+01,
    2.8371636963e+02,    1.5481033325e+01,
    2.8421588135e+02,    1.5388050079e+01,
    2.8471569824e+02,    1.5115796089e+01,
    2.8521527100e+02,    1.4817510605e+01,
    2.8571453857e+02,    1.4483611107e+01,
    2.8621398926e+02,    1.4433223724e+01,
    2.8671371460e+02,    1.4770750046e+01,
    2.8721322632e+02,    1.4932879448e+01,
    2.8771249390e+02,    1.4853024483e+01,
    2.8821179199e+02,    1.4844587326e+01,
    2.8871115112e+02,    1.4934679031e+01,
    2.8921072388e+02,    1.5046483994e+01,
    2.8971060181e+02,    1.5188496590e+01,
    2.9021017456e+02,    1.5296118736e+01,
    2.9070941162e+02,    1.5355899811e+01,
    2.9120877075e+02,    1.5345139503e+01,
    2.9170834351e+02,    1.5236228943e+01,
    2.9220776367e+02,    1.5142280579e+01,
    2.9270703125e+02,    1.5070210457e+01,
    2.9320648193e+02,    1.5149960518e+01,
    2.9370626831e+02,    1.5453575134e+01,
    2.9420584106e+02,    1.5563202858e+01,
    2.9470510864e+02,    1.5386787415e+01,
    2.9520455933e+02,    1.5256253242e+01,
    2.9570434570e+02,    1.5193942070e+01,
    2.9620391846e+02,    1.5055521011e+01,
    2.9670321655e+02,    1.4803924561e+01,
    2.9720266724e+02,    1.4731846809e+01,
